,Nama,Waktu,Ulasan,Label,Cleaning,CaseFolding,slangword,Tokenizing,Stopword_Removal,Stemming,Full_Text_Stemmed
610,Eka Martina Muawana,4 tahun lalu,mantap.  slalu mampir ketika mudik k jawa,positif,mantap slalu mampir ketika mudik jawa,mantap slalu mampir ketika mudik jawa,mantap slalu mampir ketika mudik jawa,"['mantap', 'slalu', 'mampir', 'ketika', 'mudik', 'jawa']","['mantap', 'slalu', 'mampir', 'mudik', 'jawa']","['mantap', 'slalu', 'mampir', 'mudik', 'jawa']",mantap slalu mampir mudik jawa
611,Globethrottle RCVLOG,setahun lalu,Doyanan istri dan anak2,positif,Doyanan istri dan anak ,doyanan istri dan anak ,doyanan istri dan anak,"['doyanan', 'istri', 'dan', 'anak']","['doyanan', 'istri', 'anak']","['doyanan', 'istri', 'anak']",doyanan istri anak
612,Asa Permana12,4 tahun lalu,"Nyaman, ramah dan bersih. Parkir luass",positif,Nyaman ramah dan bersih Parkir luass,nyaman ramah dan bersih parkir luass,nyaman ramah dan bersih parkir luass,"['nyaman', 'ramah', 'dan', 'bersih', 'parkir', 'luass']","['nyaman', 'ramah', 'bersih', 'parkir', 'luass']","['nyaman', 'ramah', 'bersih', 'parkir', 'luass']",nyaman ramah bersih parkir luass
613,Slamet SM,4 tahun lalu,Mantap pelayanan cepat & ramah......👍 …,positif,Mantap pelayanan cepat ramah ,mantap pelayanan cepat ramah ,mantap pelayanan cepat ramah,"['mantap', 'pelayanan', 'cepat', 'ramah']","['mantap', 'pelayanan', 'cepat', 'ramah']","['mantap', 'pelayanan', 'cepat', 'ramah']",mantap pelayanan cepat ramah
614,singgih andi,setahun lalu,Lumayanlah disaat lapar,positif,Lumayanlah disaat lapar,lumayanlah disaat lapar,lumayanlah disaat lapar,"['lumayanlah', 'disaat', 'lapar']","['lumayanlah', 'disaat', 'lapar']","['lumayanlah', 'disaat', 'lapar']",lumayanlah disaat lapar
615,Wasilatul Qomaria,3 tahun lalu,Sangat enak dan tempat juga bersih,positif,Sangat enak dan tempat juga bersih,sangat enak dan tempat juga bersih,sangat enak dan tempat juga bersih,"['sangat', 'enak', 'dan', 'tempat', 'juga', 'bersih']","['enak', 'bersih']","['enak', 'bersih']",enak bersih
616,Nanang Tripurwanto,2 tahun lalu,Tempatnya bersih enak nyaman,positif,Tempatnya bersih enak nyaman,tempatnya bersih enak nyaman,tempatnya bersih enak nyaman,"['tempatnya', 'bersih', 'enak', 'nyaman']","['tempatnya', 'bersih', 'enak', 'nyaman']","['tempatnya', 'bersih', 'enak', 'nyaman']",tempatnya bersih enak nyaman
617,channel bmj,4 tahun lalu,Tempat nya luas.menunya banyak,positif,Tempat nya luas menunya banyak,tempat nya luas menunya banyak,tempat nya luas menunya banyak,"['tempat', 'nya', 'luas', 'menunya', 'banyak']","['nya', 'luas', 'menunya']","['nya', 'lua', 'menunya']",nya lua menunya
618,Vivit Eka Damayanti,setahun lalu,Sudah diperbaiki kecepatan pelayanannya.,positif,Sudah diperbaiki kecepatan pelayanannya ,sudah diperbaiki kecepatan pelayanannya ,sudah diperbaiki kecepatan pelayanannya,"['sudah', 'diperbaiki', 'kecepatan', 'pelayanannya']","['diperbaiki', 'kecepatan', 'pelayanannya']","['diperbaiki', 'kecepatan', 'pelayanannya']",diperbaiki kecepatan pelayanannya
619,Ainol Yakin,setahun lalu,Makanannya terlalu lama,negatif,Makanannya terlalu lama,makanannya terlalu lama,makanannya terlalu lama,"['makanannya', 'terlalu', 'lama']",['makanannya'],['makanannya'],makanannya
620,Isrok Isrok,setahun lalu,Sabtu sehat SDN Legung Timur I,netral,Sabtu sehat SDN Legung Timur ,sabtu sehat sdn legung timur ,sabtu sehat sdn legung timur,"['sabtu', 'sehat', 'sdn', 'legung', 'timur']","['sehat', 'sdn', 'legung', 'timur']","['sehat', 'sdn', 'legung', 'timur']",sehat sdn legung timur
621,Arief Santoso,2 tahun lalu,Suka sama gurami asam manisnya,positif,Suka sama gurami asam manisnya,suka sama gurami asam manisnya,suka sama gurami asam manisnya,"['suka', 'sama', 'gurami', 'asam', 'manisnya']","['suka', 'gurami', 'asam', 'manisnya']","['suka', 'gurami', 'asam', 'manisnya']",suka gurami asam manisnya
622,Hery Gunawan,setahun lalu,Tempatnya kotor,negatif,Tempatnya kotor,tempatnya kotor,tempatnya kotor,"['tempatnya', 'kotor']","['tempatnya', 'kotor']","['tempatnya', 'kotor']",tempatnya kotor
623,Agus Cahyono,5 tahun lalu,Bebekx enak tp rawonx kurang enak,netral,Bebekx enak tp rawonx kurang enak,bebekx enak tp rawonx kurang enak,bebekx enak tp rawonx kurang enak,"['bebekx', 'enak', 'tp', 'rawonx', 'kurang', 'enak']","['bebekx', 'enak', 'tp', 'rawonx', 'enak']","['bebekx', 'enak', 'tp', 'rawonx', 'enak']",bebekx enak tp rawonx enak
624,Zaidy Fajry,4 tahun lalu,Karna disini menyediakan bermacam macam makanan,netral,Karna disini menyediakan bermacam macam makanan,karna disini menyediakan bermacam macam makanan,karna disini menyediakan bermacam macam makanan,"['karna', 'disini', 'menyediakan', 'bermacam', 'macam', 'makanan']","['karna', 'menyediakan', 'makanan']","['karna', 'menyediakan', 'makanan']",karna menyediakan makanan
625,Aditya Jap,3 tahun lalu,Rasa lumayan dan harga juga terjangkau,positif,Rasa lumayan dan harga juga terjangkau,rasa lumayan dan harga juga terjangkau,rasa lumayan dan harga juga terjangkau,"['rasa', 'lumayan', 'dan', 'harga', 'juga', 'terjangkau']","['lumayan', 'harga', 'terjangkau']","['lumayan', 'harga', 'terjangkau']",lumayan harga terjangkau
626,lukman arrobin,4 tahun lalu,Lumayan enak bebek gorengnya,positif,Lumayan enak bebek gorengnya,lumayan enak bebek gorengnya,lumayan enak bebek gorengnya,"['lumayan', 'enak', 'bebek', 'gorengnya']","['lumayan', 'enak', 'bebek', 'gorengnya']","['lumayan', 'enak', 'bebek', 'gorengnya']",lumayan enak bebek gorengnya
627,m.rizal nur,3 tahun lalu,"Recomended, semuanya enak",positif,Recomended semuanya enak,recomended semuanya enak,recomended semuanya enak,"['recomended', 'semuanya', 'enak']","['recomended', 'enak']","['recomend', 'enak']",recomend enak
628,danis zakaria,setahun lalu,Enak bgt,positif,Enak bgt,enak bgt,enak bgt,"['enak', 'bgt']","['enak', 'bgt']","['enak', 'bgt']",enak bgt
629,Siti Lulu,3 tahun lalu,mantap bbek ny tapi msih enakkan bbek sinjay,netral,mantap bbek ny tapi msih enakkan bbek sinjay,mantap bbek ny tapi msih enakkan bbek sinjay,mantap bbek ny tapi msih enakkan bbek sinjay,"['mantap', 'bbek', 'ny', 'tapi', 'msih', 'enakkan', 'bbek', 'sinjay']","['mantap', 'bbek', 'ny', 'msih', 'enakkan', 'bbek', 'sinjay']","['mantap', 'bbek', 'ny', 'msih', 'enakkan', 'bbek', 'sinjay']",mantap bbek ny msih enakkan bbek sinjay
630,gifransg pamekasan,4 tahun lalu,"Bersih, masaknnya lumayan, parkir luas",positif,Bersih masaknnya lumayan parkir luas,bersih masaknnya lumayan parkir luas,bersih masaknnya lumayan parkir luas,"['bersih', 'masaknnya', 'lumayan', 'parkir', 'luas']","['bersih', 'masaknnya', 'lumayan', 'parkir', 'luas']","['bersih', 'masaknnya', 'lumayan', 'parkir', 'lua']",bersih masaknnya lumayan parkir lua
631,Taman Sari Channel,3 tahun lalu,Murah bersih enak,positif,Murah bersih enak,murah bersih enak,murah bersih enak,"['murah', 'bersih', 'enak']","['murah', 'bersih', 'enak']","['murah', 'bersih', 'enak']",murah bersih enak
632,Indra Awhe,3 tahun lalu,Masakan enak dan pelayanannya ramah,positif,Masakan enak dan pelayanannya ramah,masakan enak dan pelayanannya ramah,masakan enak dan pelayanannya ramah,"['masakan', 'enak', 'dan', 'pelayanannya', 'ramah']","['masakan', 'enak', 'pelayanannya', 'ramah']","['masakan', 'enak', 'pelayanannya', 'ramah']",masakan enak pelayanannya ramah
633,Badriah Madini,4 tahun lalu,"Nyaman, parkir luas, harga standar",positif,Nyaman parkir luas harga standar,nyaman parkir luas harga standar,nyaman parkir luas harga standar,"['nyaman', 'parkir', 'luas', 'harga', 'standar']","['nyaman', 'parkir', 'luas', 'harga', 'standar']","['nyaman', 'parkir', 'lua', 'harga', 'standar']",nyaman parkir lua harga standar
634,Ismail Marzuki,4 tahun lalu,Tempat bersantai dan tempat untuk anak kurang,netral,Tempat bersantai dan tempat untuk anak kurang,tempat bersantai dan tempat untuk anak kurang,tempat bersantai dan tempat untuk anak kurang,"['tempat', 'bersantai', 'dan', 'tempat', 'untuk', 'anak', 'kurang']","['bersantai', 'anak']","['bersantai', 'anak']",bersantai anak
635,Juhari JOjoh (JOH),2 tahun lalu,sangat memuaskan  dan enak,positif,sangat memuaskan dan enak,sangat memuaskan dan enak,sangat memuaskan dan enak,"['sangat', 'memuaskan', 'dan', 'enak']","['memuaskan', 'enak']","['memuaskan', 'enak']",memuaskan enak
636,Julio Mahendra,4 tahun lalu,Enak tempatnya jg luas,positif,Enak tempatnya jg luas,enak tempatnya jg luas,enak tempatnya jg luas,"['enak', 'tempatnya', 'jg', 'luas']","['enak', 'tempatnya', 'jg', 'luas']","['enak', 'tempatnya', 'jg', 'lua']",enak tempatnya jg lua
637,Rizka Wahyu,3 tahun lalu,"Enak, parkir luas",positif,Enak parkir luas,enak parkir luas,enak parkir luas,"['enak', 'parkir', 'luas']","['enak', 'parkir', 'luas']","['enak', 'parkir', 'lua']",enak parkir lua
638,Ipunk Chandra,4 tahun lalu,Wawwww... masakannya maknyiussss,positif,Waw masakannya maknyiuss,waw masakannya maknyiuss,waw masakannya maknyiuss,"['waw', 'masakannya', 'maknyiuss']","['waw', 'masakannya', 'maknyiuss']","['waw', 'masakannya', 'maknyiuss']",waw masakannya maknyiuss
639,John Charles,4 tahun lalu,Bebeknya enak!!! Mantul,positif,Bebeknya enak Mantul,bebeknya enak mantul,bebeknya enak mantul,"['bebeknya', 'enak', 'mantul']","['bebeknya', 'enak', 'mantul']","['bebeknya', 'enak', 'mantul']",bebeknya enak mantul
640,iqbal ramos,3 tahun lalu,"Gak enak, mahal iya",negatif,Gak enak mahal iya,gak enak mahal iya,gak enak mahal iya,"['gak', 'enak', 'mahal', 'iya']","['gak', 'enak', 'mahal', 'iya']","['gak', 'enak', 'mahal', 'iya']",gak enak mahal iya
641,Mega M,4 tahun lalu,"Bebek kecil, rasa lumayan. Banyak lalat",netral,Bebek kecil rasa lumayan Banyak lalat,bebek kecil rasa lumayan banyak lalat,bebek kecil rasa lumayan banyak lalat,"['bebek', 'kecil', 'rasa', 'lumayan', 'banyak', 'lalat']","['bebek', 'lumayan', 'lalat']","['bebek', 'lumayan', 'lalat']",bebek lumayan lalat
642,David yuli,3 tahun lalu,"Pelayanan cepat,harga standar",positif,Pelayanan cepat harga standar,pelayanan cepat harga standar,pelayanan cepat harga standar,"['pelayanan', 'cepat', 'harga', 'standar']","['pelayanan', 'cepat', 'harga', 'standar']","['pelayanan', 'cepat', 'harga', 'standar']",pelayanan cepat harga standar
643,Mirut Mitur,3 tahun lalu,Bebek dan ayamnya mantap dan bersih,positif,Bebek dan ayamnya mantap dan bersih,bebek dan ayamnya mantap dan bersih,bebek dan ayamnya mantap dan bersih,"['bebek', 'dan', 'ayamnya', 'mantap', 'dan', 'bersih']","['bebek', 'ayamnya', 'mantap', 'bersih']","['bebek', 'ayamnya', 'mantap', 'bersih']",bebek ayamnya mantap bersih
644,Baijuri Alwi (baye),4 tahun lalu,Enak Mantap Kak Sukur hahaha,positif,Enak Mantap Kak Sukur hahaha,enak mantap kak sukur hahaha,enak mantap kak sukur hahaha,"['enak', 'mantap', 'kak', 'sukur', 'hahaha']","['enak', 'mantap', 'kak', 'sukur', 'hahaha']","['enak', 'mantap', 'kak', 'sukur', 'hahaha']",enak mantap kak sukur hahaha
645,Zehid,4 tahun lalu,Ayam sm bebek harganya brp,netral,Ayam sm bebek harganya brp,ayam sm bebek harganya brp,ayam sm bebek harganya brp,"['ayam', 'sm', 'bebek', 'harganya', 'brp']","['ayam', 'sm', 'bebek', 'harganya', 'brp']","['ayam', 'sm', 'bebek', 'harganya', 'brp']",ayam sm bebek harganya brp
646,Jauhar Shafari,2 tahun lalu,Makanan ny mantap,positif,Makanan ny mantap,makanan ny mantap,makanan ny mantap,"['makanan', 'ny', 'mantap']","['makanan', 'ny', 'mantap']","['makanan', 'ny', 'mantap']",makanan ny mantap
647,Widjaya 2608,3 tahun lalu,lemgkap dan cocok buat makan skeleuarga,positif,lemgkap dan cocok buat makan skeleuarga,lemgkap dan cocok buat makan skeleuarga,lemgkap dan cocok buat makan skeleuarga,"['lemgkap', 'dan', 'cocok', 'buat', 'makan', 'skeleuarga']","['lemgkap', 'cocok', 'makan', 'skeleuarga']","['lemgkap', 'cocok', 'makan', 'skeleuarga']",lemgkap cocok makan skeleuarga
648,Inayatul Kamila,2 tahun lalu,"nasinya masih sedikit
dan nunggunya lama",negatif,nasinya masih sedikit dan nunggunya lama,nasinya masih sedikit dan nunggunya lama,nasinya masih sedikit dan nunggunya lama,"['nasinya', 'masih', 'sedikit', 'dan', 'nunggunya', 'lama']","['nasinya', 'nunggunya']","['nasinya', 'nunggunya']",nasinya nunggunya
649,Hmi Misbah,8 bulan lalu,Makanannya lezat,positif,Makanannya lezat,makanannya lezat,makanannya lezat,"['makanannya', 'lezat']","['makanannya', 'lezat']","['makanannya', 'lezat']",makanannya lezat
650,bramanto wardhana,2 tahun lalu,Ayam bumbu basahnya mantap,positif,Ayam bumbu basahnya mantap,ayam bumbu basahnya mantap,ayam bumbu basahnya mantap,"['ayam', 'bumbu', 'basahnya', 'mantap']","['ayam', 'bumbu', 'basahnya', 'mantap']","['ayam', 'bumbu', 'basahnya', 'mantap']",ayam bumbu basahnya mantap
651,ihwan Asriady,4 tahun lalu,Terlalu mahal harus ku bayar 🙃😁😁😁😁 …,negatif,Terlalu mahal harus ku bayar ,terlalu mahal harus ku bayar ,terlalu mahal harus ku bayar,"['terlalu', 'mahal', 'harus', 'ku', 'bayar']","['mahal', 'ku', 'bayar']","['mahal', 'ku', 'bayar']",mahal ku bayar
652,REZA PAHLEVI DWI K,4 tahun lalu,Sangat lama jika merasa ayam bakar,negatif,Sangat lama jika merasa ayam bakar,sangat lama jika merasa ayam bakar,sangat lama jika merasa ayam bakar,"['sangat', 'lama', 'jika', 'merasa', 'ayam', 'bakar']","['ayam', 'bakar']","['ayam', 'bakar']",ayam bakar
653,Moh Fuad,2 tahun lalu,Makanannya enak,positif,Makanannya enak,makanannya enak,makanannya enak,"['makanannya', 'enak']","['makanannya', 'enak']","['makanannya', 'enak']",makanannya enak
654,Minerva Priscila Sundoro,4 tahun lalu,Bebek dan ayamnya mantaap jg sambalnya,positif,Bebek dan ayamnya mantaap jg sambalnya,bebek dan ayamnya mantaap jg sambalnya,bebek dan ayamnya mantaap jg sambalnya,"['bebek', 'dan', 'ayamnya', 'mantaap', 'jg', 'sambalnya']","['bebek', 'ayamnya', 'mantaap', 'jg', 'sambalnya']","['bebek', 'ayamnya', 'mantaap', 'jg', 'sambalnya']",bebek ayamnya mantaap jg sambalnya
655,Om Cu'Ank,10 bulan lalu,Pokoknya mantul dehhh,positif,Pokoknya mantul dehh,pokoknya mantul dehh,pokoknya mantul dehh,"['pokoknya', 'mantul', 'dehh']","['pokoknya', 'mantul', 'dehh']","['pokoknya', 'mantul', 'dehh']",pokoknya mantul dehh
656,Heru Trinugroho,2 tahun lalu,Enakkkkk. Mantappp,positif,Enakk Mantapp,enakk mantapp,enakk mantapp,"['enakk', 'mantapp']","['enakk', 'mantapp']","['enakk', 'mantapp']",enakk mantapp
657,Puji Maryono,4 tahun lalu,klo ke madura....bisa mampir disini...,netral,klo ke madura bisa mampir disini ,klo ke madura bisa mampir disini ,klo ke madura bisa mampir disini,"['klo', 'ke', 'madura', 'bisa', 'mampir', 'disini']","['klo', 'madura', 'mampir']","['klo', 'madura', 'mampir']",klo madura mampir
658,Fakhrur Amin,4 tahun lalu,Fasilitas sholat dan kamra mandi memadadi,positif,Fasilitas sholat dan kamra mandi memadadi,fasilitas sholat dan kamra mandi memadadi,fasilitas sholat dan kamra mandi memadadi,"['fasilitas', 'sholat', 'dan', 'kamra', 'mandi', 'memadadi']","['fasilitas', 'sholat', 'kamra', 'mandi', 'memadadi']","['fasilita', 'sholat', 'kamra', 'mandi', 'memadadi']",fasilita sholat kamra mandi memadadi
659,Maman Odienkz,4 tahun lalu,Pelayanan Yang Sangat Bagus Lanjutkan,positif,Pelayanan Yang Sangat Bagus Lanjutkan,pelayanan yang sangat bagus lanjutkan,pelayanan yang sangat bagus lanjutkan,"['pelayanan', 'yang', 'sangat', 'bagus', 'lanjutkan']","['pelayanan', 'bagus', 'lanjutkan']","['pelayanan', 'bagu', 'lanjutkan']",pelayanan bagu lanjutkan
660,budi rayhan,2 tahun lalu,"Bebek bakarnya, top!",positif,Bebek bakarnya top ,bebek bakarnya top ,bebek bakarnya top,"['bebek', 'bakarnya', 'top']","['bebek', 'bakarnya', 'top']","['bebek', 'bakarnya', 'top']",bebek bakarnya top
661,Adjie soesilo widjaja,3 tahun lalu,Tempat nya okey dan bebeknya enak,positif,Tempat nya okey dan bebeknya enak,tempat nya okey dan bebeknya enak,tempat nya okey dan bebeknya enak,"['tempat', 'nya', 'okey', 'dan', 'bebeknya', 'enak']","['nya', 'okey', 'bebeknya', 'enak']","['nya', 'okey', 'bebeknya', 'enak']",nya okey bebeknya enak
662,Gus Put,2 tahun lalu,Sambel nya kecuuuut poll,netral,Sambel nya kecuut poll,sambel nya kecuut poll,sambel nya kecuut poll,"['sambel', 'nya', 'kecuut', 'poll']","['sambel', 'nya', 'kecuut', 'poll']","['sambel', 'nya', 'kecuut', 'poll']",sambel nya kecuut poll
663,MAZIDA NI'AMAH,3 tahun lalu,Tempat nyaman makanan nya MantuL,positif,Tempat nyaman makanan nya MantuL,tempat nyaman makanan nya mantul,tempat nyaman makanan nya mantul,"['tempat', 'nyaman', 'makanan', 'nya', 'mantul']","['nyaman', 'makanan', 'nya', 'mantul']","['nyaman', 'makanan', 'nya', 'mantul']",nyaman makanan nya mantul
664,Amin Riski,2 tahun lalu,Gak tau gak pernah makan,netral,Gak tau gak pernah makan,gak tau gak pernah makan,gak tau gak pernah makan,"['gak', 'tau', 'gak', 'pernah', 'makan']","['gak', 'tau', 'gak', 'makan']","['gak', 'tau', 'gak', 'makan']",gak tau gak makan
665,Ishaq Iskandar,3 tahun lalu,Restaurant bonafit.serba ada vareasi,netral,Restaurant bonafit serba ada vareasi,restaurant bonafit serba ada vareasi,restaurant bonafit serba ada vareasi,"['restaurant', 'bonafit', 'serba', 'ada', 'vareasi']","['restaurant', 'bonafit', 'serba', 'vareasi']","['restaur', 'bonafit', 'serba', 'vareasi']",restaur bonafit serba vareasi
666,pamula andy sucipto,3 tahun lalu,"Oke, harga standar",positif,Oke harga standar,oke harga standar,oke harga standar,"['oke', 'harga', 'standar']","['oke', 'harga', 'standar']","['oke', 'harga', 'standar']",oke harga standar
667,As'adurrofiq Abdurrahman,4 tahun lalu,"Enak tempat
harga bersahabat",positif,Enak tempat harga bersahabat,enak tempat harga bersahabat,enak tempat harga bersahabat,"['enak', 'tempat', 'harga', 'bersahabat']","['enak', 'harga', 'bersahabat']","['enak', 'harga', 'bersahabat']",enak harga bersahabat
668,Herdiyanto Setiyawan,2 tahun lalu,Bebek bumbu basahnya mantap,positif,Bebek bumbu basahnya mantap,bebek bumbu basahnya mantap,bebek bumbu basahnya mantap,"['bebek', 'bumbu', 'basahnya', 'mantap']","['bebek', 'bumbu', 'basahnya', 'mantap']","['bebek', 'bumbu', 'basahnya', 'mantap']",bebek bumbu basahnya mantap
669,Sabilur Rosyad,4 tahun lalu,sambel pencitnya pedes pol,netral,sambel pencitnya pedes pol,sambel pencitnya pedes pol,sambel pencitnya pedes pol,"['sambel', 'pencitnya', 'pedes', 'pol']","['sambel', 'pencitnya', 'pedes', 'pol']","['sambel', 'pencitnya', 'pede', 'pol']",sambel pencitnya pede pol
670,Yusuf Muhammad,4 tahun lalu,"Mantul Bebeknya
Sinjay mah lewat",positif,Mantul Bebeknya Sinjay mah lewat,mantul bebeknya sinjay mah lewat,mantul bebeknya sinjay mah lewat,"['mantul', 'bebeknya', 'sinjay', 'mah', 'lewat']","['mantul', 'bebeknya', 'sinjay', 'mah']","['mantul', 'bebeknya', 'sinjay', 'mah']",mantul bebeknya sinjay mah
671,wiwin sis,3 tahun lalu,Tempat dan masakannya mantap,positif,Tempat dan masakannya mantap,tempat dan masakannya mantap,tempat dan masakannya mantap,"['tempat', 'dan', 'masakannya', 'mantap']","['masakannya', 'mantap']","['masakannya', 'mantap']",masakannya mantap
672,Deasy Anisa,3 tahun lalu,Pelayanan kasir kurang ramah,negatif,Pelayanan kasir kurang ramah,pelayanan kasir kurang ramah,pelayanan kasir kurang ramah,"['pelayanan', 'kasir', 'kurang', 'ramah']","['pelayanan', 'kasir', 'ramah']","['pelayanan', 'kasir', 'ramah']",pelayanan kasir ramah
673,Nurdin,2 tahun lalu,Sangat luas tempatnya,positif,Sangat luas tempatnya,sangat luas tempatnya,sangat luas tempatnya,"['sangat', 'luas', 'tempatnya']","['luas', 'tempatnya']","['lua', 'tempatnya']",lua tempatnya
674,20-191 Rama priyadi,4 tahun lalu,"Tempatnya yang stategis, juga bebeknya enak",positif,Tempatnya yang stategis juga bebeknya enak,tempatnya yang stategis juga bebeknya enak,tempatnya yang stategis juga bebeknya enak,"['tempatnya', 'yang', 'stategis', 'juga', 'bebeknya', 'enak']","['tempatnya', 'stategis', 'bebeknya', 'enak']","['tempatnya', 'stategi', 'bebeknya', 'enak']",tempatnya stategi bebeknya enak
675,Kadi Yono,setahun lalu,Ayam goreng sambal nya👍👍👍 …,positif,Ayam goreng sambal nya ,ayam goreng sambal nya ,ayam goreng sambal nya,"['ayam', 'goreng', 'sambal', 'nya']","['ayam', 'goreng', 'sambal', 'nya']","['ayam', 'goreng', 'sambal', 'nya']",ayam goreng sambal nya
676,Hengky Darmawan,4 tahun lalu,Tempatnya Strategis. Bersih dan Nyaman.,positif,Tempatnya Strategis Bersih dan Nyaman ,tempatnya strategis bersih dan nyaman ,tempatnya strategis bersih dan nyaman,"['tempatnya', 'strategis', 'bersih', 'dan', 'nyaman']","['tempatnya', 'strategis', 'bersih', 'nyaman']","['tempatnya', 'strategi', 'bersih', 'nyaman']",tempatnya strategi bersih nyaman
677,Dheni Ines,4 tahun lalu,Masakan khas Madura bisa dinikmati di sini,positif,Masakan khas Madura bisa dinikmati di sini,masakan khas madura bisa dinikmati di sini,masakan khas madura bisa dinikmati di sini,"['masakan', 'khas', 'madura', 'bisa', 'dinikmati', 'di', 'sini']","['masakan', 'khas', 'madura', 'dinikmati']","['masakan', 'kha', 'madura', 'dinikmati']",masakan kha madura dinikmati
678,Hendrianto Agus Dwiyono,4 tahun lalu,Enak...sambelnya maknyuss😊 …,positif,Enak sambelnya maknyuss ,enak sambelnya maknyuss ,enak sambelnya maknyuss,"['enak', 'sambelnya', 'maknyuss']","['enak', 'sambelnya', 'maknyuss']","['enak', 'sambelnya', 'maknyuss']",enak sambelnya maknyuss
679,Arif Widodo Pratama (Ido),4 tahun lalu,Enak dan terjangkau,positif,Enak dan terjangkau,enak dan terjangkau,enak dan terjangkau,"['enak', 'dan', 'terjangkau']","['enak', 'terjangkau']","['enak', 'terjangkau']",enak terjangkau
680,Jalzah As Shufi,2 tahun lalu,Masakannya maknyos dan enak,positif,Masakannya maknyos dan enak,masakannya maknyos dan enak,masakannya maknyos dan enak,"['masakannya', 'maknyos', 'dan', 'enak']","['masakannya', 'maknyos', 'enak']","['masakannya', 'maknyo', 'enak']",masakannya maknyo enak
681,Ruwanto Jogja,4 tahun lalu,Sambalnya saya suka,positif,Sambalnya saya suka,sambalnya saya suka,sambalnya saya suka,"['sambalnya', 'saya', 'suka']","['sambalnya', 'suka']","['sambalnya', 'suka']",sambalnya suka
682,Fatahillah Alfarizy,3 tahun lalu,Tempat bagus n pelayanan mantap,positif,Tempat bagus pelayanan mantap,tempat bagus pelayanan mantap,tempat bagus pelayanan mantap,"['tempat', 'bagus', 'pelayanan', 'mantap']","['bagus', 'pelayanan', 'mantap']","['bagu', 'pelayanan', 'mantap']",bagu pelayanan mantap
683,Mulak Hasan,4 tahun lalu,Sajian dan masakan sangat enak,positif,Sajian dan masakan sangat enak,sajian dan masakan sangat enak,sajian dan masakan sangat enak,"['sajian', 'dan', 'masakan', 'sangat', 'enak']","['sajian', 'masakan', 'enak']","['sajian', 'masakan', 'enak']",sajian masakan enak
684,R Hendri Martha Kusuma,3 tahun lalu,Lokasinya pas dan strategis..,positif,Lokasinya pas dan strategis ,lokasinya pas dan strategis ,lokasinya pas dan strategis,"['lokasinya', 'pas', 'dan', 'strategis']","['lokasinya', 'pas', 'strategis']","['lokasinya', 'pa', 'strategi']",lokasinya pa strategi
685,Ahmad Zulfikar Ali,4 tahun lalu,menu olahan bebek yang sangat nikmat,positif,menu olahan bebek yang sangat nikmat,menu olahan bebek yang sangat nikmat,menu olahan bebek yang sangat nikmat,"['menu', 'olahan', 'bebek', 'yang', 'sangat', 'nikmat']","['menu', 'olahan', 'bebek', 'nikmat']","['menu', 'olahan', 'bebek', 'nikmat']",menu olahan bebek nikmat
686,yety ika,3 tahun lalu,"Daginge endul, menurutku endul ini daripada sinjay.",positif,Daginge endul menurutku endul ini daripada sinjay ,daginge endul menurutku endul ini daripada sinjay ,daginge endul menurutku endul ini daripada sinjay,"['daginge', 'endul', 'menurutku', 'endul', 'ini', 'daripada', 'sinjay']","['daginge', 'endul', 'menurutku', 'endul', 'sinjay']","['daging', 'endul', 'menurutku', 'endul', 'sinjay']",daging endul menurutku endul sinjay
687,Koko Handoko,7 bulan lalu,Lumayan,positif,Lumayan,lumayan,lumayan,['lumayan'],['lumayan'],['lumayan'],lumayan
688,baper perasaan,3 tahun lalu,Enak tapi kantong tipis #santri,netral,Enak tapi kantong tipis santri,enak tapi kantong tipis santri,enak tapi kantong tipis santri,"['enak', 'tapi', 'kantong', 'tipis', 'santri']","['enak', 'kantong', 'tipis', 'santri']","['enak', 'kantong', 'tipi', 'santri']",enak kantong tipi santri
689,yudia prakurnia,2 tahun lalu,Kasir tdk xaman......amburadul,negatif,Kasir tdk xaman amburadul,kasir tdk xaman amburadul,kasir tdk xaman amburadul,"['kasir', 'tdk', 'xaman', 'amburadul']","['kasir', 'tdk', 'xaman', 'amburadul']","['kasir', 'tdk', 'xaman', 'amburadul']",kasir tdk xaman amburadul
690,Ana Jaya,2 tahun lalu,Lumayan enak bebek'a👍👍 …,positif,Lumayan enak bebek ,lumayan enak bebek ,lumayan enak bebek,"['lumayan', 'enak', 'bebek']","['lumayan', 'enak', 'bebek']","['lumayan', 'enak', 'bebek']",lumayan enak bebek
691,Marina Joewono,3 tahun lalu,"Porsi ****
Taste ****
Place ***** …",netral,Porsi Taste Place ,porsi taste place ,porsi taste place,"['porsi', 'taste', 'place']","['porsi', 'taste', 'place']","['porsi', 'tast', 'place']",porsi tast place
692,Anugerah Marsudinata,3 tahun lalu,Mantab deh untuk menu bebekya,positif,Mantab deh untuk menu bebekya,mantab deh untuk menu bebekya,mantab deh untuk menu bebekya,"['mantab', 'deh', 'untuk', 'menu', 'bebekya']","['mantab', 'deh', 'menu', 'bebekya']","['mantab', 'deh', 'menu', 'bebekya']",mantab deh menu bebekya
693,Shafwan Maulidi,3 tahun lalu,Mantab rasanya,positif,Mantab rasanya,mantab rasanya,mantab rasanya,"['mantab', 'rasanya']",['mantab'],['mantab'],mantab
